trat;temb;%g;tmg;ivg
t0;12;53;12.2;0.82
t0;24;72;15.7;1.13
t0;48;55;15.2;0.87
t0;72;60;16.5;0.97
t0;96;58;11.2;1.15
t0;120;55;11.7;1.32
t06;12;51;12.7;0.85
t06;24;49;14.5;0.75
t06;48;65;16.7;1.04
t06;72;58;15.2;1.00
t06;96;66;12;1.37
t06;120;47;12.7;1.01
t09;12;59;13.5;0.97
t09;24;66;14.2;0.99
t09;48;52;13.5;0.93
t09;72;60;16;1.02
t09;96;55;11.7;1.15
t09;120;57;12.7;1.31
t12;12;66;12.7;1.04
t12;24;52;14;0.75
t12;48;56;14.7;0.92
t12;72;56;12.2;1.00
t12;96;57;11.2;1.12
t12;120;57;12.2;1.26
t15;12;49;13.7;0.78
t15;24;65;14.2;0.97
t15;48;47;14;0.80
t15;72;63;16.5;1.01
t15;96;58;12.5;1.24
t15;120;55;12.7;1.20
