trat;temb;%g;tmg;ivg
t0;12;52;9.8;1.32
t0;24;45;8.1;1.39
t0;48;33;12.6;1.22
t0;72;36;8.6;1.01
t0;96;46;10.3;1.12
t0;120;19;8.00;0.60
t06;12;50;11.6;1.31
t06;24;59;9.4;1.63
t06;48;40;9.4;1.14
t06;72;53;8.7;1.55
t06;96;48;10.1;1.16
t06;120;37;8.00;1.16
t09;12;55;8.6;1.34
t09;24;50;10.4;1.31
t09;48;41;9;1.34
t09;72;39;8.1;1.13
t09;96;41;9;0.94
t09;120;36;8.00;1.13
t12;12;45;13;1.39
t12;24;53;9.3;1.51
t12;48;44;7.5;1.11
t12;72;48;8.5;1.44
t12;96;48;10.1;1.19
t12;120;43;8.10;1.33
t15;12;49;9.5;1.14
t15;24;38;9.7;1.04
t15;48;38;6.8;0.94
t15;72;51;7.7;1.52
t15;96;25;9.4;0.60
t15;120;26;8.00;0.81
